Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
587,700,3400,5100,9800,13100,20700,21900,32200,37800,40400,59900,71400,88600,73600,108400,125000,100000,151200,127200,171100,142800,158900,168300,183200,203600,210100,232000,331900,353300,275200,288100,377400,371500,352900,375700,472400,433400,453600,449200,706500,509800,532000,525400,563700,617000,911800,634300,941600,809500,708500,742300,812600,798800,813600,845600,869800,909200,967400,978200,1071600,1003700,1063400,1109700,1629000,1158200,1186600,1254400,1274900,1906400,1344200,1375700,1397600,1425100,1475000,1552400,1537400,1618200,1713300,1669500,1758900,1761400,2319800,1909900,1913800,2518600,2007300,2425700,2054600,2238700,2176600,2208900,2257100,3667000,3007200,3199800,2827000,3323900,2670400,2706300,2659200
588,600,3800,5400,10400,12300,16900,21500,32000,39900,38900,61800,74600,78700,72000,108300,124700,97500,131900,131400,146300,148600,157700,179000,186900,196900,203800,225800,348800,344100,279300,288600,309000,316200,340800,358600,387700,446300,447600,439400,785600,490800,516500,542700,558700,587700,926900,621000,782100,925400,713400,722300,784800,777900,832800,844700,886200,906700,938900,979500,1029700,1027900,1056400,1100600,1646100,1157900,1185300,1260900,1305100,1879600,1366000,1373500,1405200,1522400,1517700,1583700,1548200,1599400,1644600,1816100,1710200,1827000,1850300,1846000,1907200,1965000,2015900,2954100,2114400,2096000,2173000,2292100,2307200,2898200,2980600,3058500,2487100,3357700,2576900,2627200,2917400
589,700,4400,6200,10100,12100,15600,21000,77700,37800,41900,56300,75800,65500,81000,111400,121600,103400,127500,124600,137400,143600,161900,175500,185600,204000,215800,236100,332400,360800,291400,294900,308500,328200,341800,350600,393900,505600,428900,445900,814700,490100,513400,542500,569200,582200,933700,700500,715700,1060400,718600,724400,756400,802900,824900,869100,941200,902200,937600,963300,997900,1041300,1081200,1095000,1630600,1161800,1187800,1236000,1267900,1812600,1387500,1380000,1404900,1494900,1488300,1575600,1546000,1591700,1648800,1800900,1746400,1772600,1830300,1841300,1886800,1968800,2009200,2992700,2058600,2149100,2257300,2371900,2274000,3171000,3203400,3135200,2429300,3770000,2547300,2625400,2733500
590,800,3600,6200,10800,13200,15400,22200,29800,36600,40300,45300,85500,71700,72900,110400,122600,105400,129000,125000,135400,146000,163000,174800,183700,200100,215800,230400,315900,345700,338600,301400,316000,352100,362300,354600,384600,405100,420700,444700,635100,503700,507100,555400,539000,591900,940400,624800,930100,1324100,708300,730700,776100,792000,818000,852300,878100,966900,932400,981200,993200,1017500,1064700,1086000,1586500,1133500,1216100,1222900,1259800,1336200,1349100,1370400,1426000,1441700,1504700,1556500,1542000,1659800,1630500,1728300,1727300,2036700,1839600,1887500,1908900,1949700,1977200,3025800,2172600,2478700,2181400,2670400,2298300,3460500,3142600,3358000,2501900,3351400,2568300,2730000,2778100
591,600,3600,5600,10700,12900,16200,21800,32000,38700,39800,45100,72800,72000,71300,107000,123700,126800,132800,124700,133700,151000,158000,173200,186500,198600,211000,229300,409400,331800,348100,292300,329800,328100,339600,413200,384900,476200,416800,451700,627100,507700,543100,548800,571300,732400,946600,677400,957500,1045600,714100,741200,754800,795600,830300,849700,872400,898400,935100,975700,1016600,1044500,1068600,1132900,1656000,1201900,1219100,1252800,1285600,1304900,1343600,1448000,1430200,1433300,1869100,1794700,2021800,1590400,1657400,1690500,1743800,1869200,1836300,1841600,1898100,1986600,2020800,2378200,2083300,2463800,2187600,2205700,2909300,3112300,3346000,2673800,2524500,2661300,2559400,2630400,2740700
592,700,3400,5000,10300,15000,15700,20900,29400,38200,48200,48400,74900,77300,69600,110300,121800,121900,144300,122200,147100,146500,161800,173700,196100,208800,205200,231400,326800,353600,334200,295500,307300,326900,400400,379900,392400,405700,492500,446900,616600,494400,513200,535600,602600,809900,924900,645500,1035400,907900,721900,723700,759300,789800,832100,854400,893000,930400,936800,1049700,984500,1014000,1069000,1077400,1668400,1156600,1254300,1248300,1260900,1323100,1391700,1378400,1420600,1464200,1627700,1736500,1550100,1626800,1667300,1683400,1734700,1779200,2032300,1846400,1897800,1889300,1966100,2414200,2062100,2118800,2196800,2380100,2322300,2825500,2978200,2703200,2463800,2845000,2610600,2594600,2697700
593,600,4100,5400,10000,13100,20300,21700,32700,34800,43600,48800,71300,75100,70100,110100,136600,120900,129100,121700,138900,149300,160800,166300,187500,201800,216800,222600,355100,344000,375000,290900,314800,337100,442800,367500,382300,665800,532700,457000,537200,476800,658600,534000,589600,893400,952300,623900,1015200,717100,699700,745000,757000,980600,824700,847500,865000,913400,938500,976300,1017400,1037800,1065700,1144600,1608300,1161000,1211500,1235200,1272300,1290900,1404600,1372600,1392500,1449300,1489000,1592200,1590300,1765800,2259400,1675900,1694000,1793500,1821200,1875800,2005300,2028300,2016700,2151100,2075700,2112900,2224400,2220600,2274900,2358300,2331400,2864500,2580700,2811000,2713400,2731500,2750000
594,600,3600,5800,10100,12900,21200,22500,29700,36400,42900,45000,73700,76300,71900,114500,126200,108300,133800,125600,135000,169300,160800,190200,228400,214700,216000,232000,314700,343700,322000,286200,308900,321900,453900,513300,385600,410300,465500,452400,477900,507700,622500,543800,635100,834800,943100,625900,989500,705400,701000,733700,761100,876900,891300,874500,859400,923500,941300,997500,1039200,1242500,1050500,1247200,1689200,1184500,1201400,1228400,1367700,1313700,1330800,1366900,1536300,1456500,1496700,1540800,1548200,1619900,1678500,1758900,1846000,1786200,1844000,1833900,1893900,1967300,2080800,2058500,2051600,2288400,2159900,2236400,2672700,2317200,2328100,3151500,2491100,2631700,2580700,2558100,2681400
595,700,3600,5400,10800,12100,20100,21400,28700,37800,123300,48500,73900,77500,69200,112000,123400,104200,138500,125600,132100,188300,156300,173600,199400,206200,214000,234000,333900,367400,280600,301200,307800,334900,451200,366100,380800,470700,534400,435000,639000,496600,630800,522300,566200,846800,894000,643400,919100,687000,709800,757800,744200,1002600,812900,829200,898700,932700,921700,983600,997100,1034300,1067300,1120800,1671100,1205800,1168600,1227000,1295500,1296900,1325900,1852200,1432200,1499500,1492700,1515600,1557100,1644100,1672800,1698200,1742300,1764300,2301200,1972700,1894000,1986000,2034700,2062000,2161800,2111500,2178500,2622000,2294700,2594800,2321500,3735600,2597900,2509400,2567700,2631400,2676400
596,800,3300,5600,10000,12400,20500,21600,31700,39400,38300,57600,74200,71000,73600,112800,126000,101100,129000,124900,132900,141800,154700,170400,185400,197700,217200,229100,311200,347900,270700,371800,328500,351800,492600,368300,374300,397300,509400,449300,596800,495300,607400,529200,563700,866000,777200,638400,974300,804400,708900,745300,767900,810600,839400,865800,858800,893300,938300,979600,1026500,1040700,1165600,1109900,1672000,1142100,1204600,1231000,1267200,1312300,1338200,1402000,1386400,1443800,1493800,1526400,1550600,1628900,1621600,1709400,1712700,1775500,1939300,1881900,1930100,1952500,1968700,2020600,2048500,2163700,2176500,2330300,2386600,2416900,2398900,3152200,2438700,2470300,2563600,2594800,2702500
