Prueba,Tamaño_10,Tamaño_20,Tamaño_30,Tamaño_40,Tamaño_50,Tamaño_60,Tamaño_70,Tamaño_80,Tamaño_90,Tamaño_100,Tamaño_110,Tamaño_120,Tamaño_130,Tamaño_140,Tamaño_150,Tamaño_160,Tamaño_170,Tamaño_180,Tamaño_190,Tamaño_200,Tamaño_210,Tamaño_220,Tamaño_230,Tamaño_240,Tamaño_250,Tamaño_260,Tamaño_270,Tamaño_280,Tamaño_290,Tamaño_300,Tamaño_310,Tamaño_320,Tamaño_330,Tamaño_340,Tamaño_350,Tamaño_360,Tamaño_370,Tamaño_380,Tamaño_390,Tamaño_400,Tamaño_410,Tamaño_420,Tamaño_430,Tamaño_440,Tamaño_450,Tamaño_460,Tamaño_470,Tamaño_480,Tamaño_490,Tamaño_500,Tamaño_510,Tamaño_520,Tamaño_530,Tamaño_540,Tamaño_550,Tamaño_560,Tamaño_570,Tamaño_580,Tamaño_590,Tamaño_600,Tamaño_610,Tamaño_620,Tamaño_630,Tamaño_640,Tamaño_650,Tamaño_660,Tamaño_670,Tamaño_680,Tamaño_690,Tamaño_700,Tamaño_710,Tamaño_720,Tamaño_730,Tamaño_740,Tamaño_750,Tamaño_760,Tamaño_770,Tamaño_780,Tamaño_790,Tamaño_800,Tamaño_810,Tamaño_820,Tamaño_830,Tamaño_840,Tamaño_850,Tamaño_860,Tamaño_870,Tamaño_880,Tamaño_890,Tamaño_900,Tamaño_910,Tamaño_920,Tamaño_930,Tamaño_940,Tamaño_950,Tamaño_960,Tamaño_970,Tamaño_980,Tamaño_990,Tamaño_1000
21,800,1700,3700,5800,9000,9100,18900,23100,24100,32200,49200,29800,41700,48600,55800,75000,67600,51000,56000,84500,80300,73200,78300,85700,91600,164400,104100,122400,119300,169200,219000,218300,151800,211600,232700,179300,186800,196100,203600,335700,223900,234900,246300,272000,412000,506000,504500,422600,508200,325400,572400,351900,439300,390000,492900,474600,421300,433800,456200,467900,862300,487800,508900,528600,533700,560700,564900,587200,600100,609400,642000,939500,666500,820300,747000,720800,947200,971200,779400,788900,903800,828900,847800,2016700,915900,1046600,931200,951700,974100,992600,1025000,1053700,1362500,1083800,1096000,1207800,1142700,1369400,1263400,1853200
22,600,1600,3400,5900,7800,11600,18600,24200,24100,50100,34100,29300,45200,50200,57400,49400,70200,50100,55600,73900,66000,72800,79500,84100,115600,165600,105000,112000,121000,169500,233300,143200,216000,159000,223400,178100,186100,196200,205100,356300,356100,235200,245000,283000,403800,494300,532300,302100,563200,334600,503800,348800,378600,473300,409400,417600,416500,429700,444000,458600,473400,595100,500400,522700,545900,550000,568000,577300,604100,622100,626100,676800,665100,899200,817900,1135800,1008700,1454800,770400,798200,810700,827800,959000,1527600,906400,923800,1145400,952000,2367600,1045100,1018900,1048600,1845900,1100700,1111200,1127500,1149000,1459000,1198200,2952800
23,600,2000,3700,6000,54200,11400,16600,24000,23900,25300,32400,30400,34800,54300,56300,49600,104500,52200,55300,72200,66800,72500,78500,84300,146100,176400,104000,112200,133000,168700,519800,198600,150700,215600,168500,194100,185500,207900,204000,239700,402700,234400,244700,256000,266000,505700,491800,314100,532200,325100,345800,356800,363000,374000,438300,411600,413900,429700,448000,467300,685200,487700,628600,693700,602200,559600,563700,579500,618300,916800,632400,703100,673500,732400,708800,1120200,752700,1322300,1034900,3205900,822000,835300,861500,1045800,963700,908100,1328500,948400,985600,1512200,1335300,1575200,1896800,1079700,1096200,1114100,1151000,1383500,1316800,2811900
24,800,1700,3600,6300,7900,11100,18900,23700,22900,28100,30500,29600,29500,50600,57500,50300,46200,51200,65500,63200,66100,73100,78500,83400,176000,179500,110000,111000,118300,178300,224200,146400,151400,184000,168600,188700,194000,194300,204100,213600,401600,236200,244600,257300,267300,491900,497200,302800,590200,328700,337900,448400,381500,374600,454800,577500,415100,429600,545600,464800,497300,766300,502300,974000,603800,547700,691600,580600,599800,1316100,642700,670900,663900,701900,719000,952500,964900,1193200,783300,1351100,807200,826000,886200,1265200,1870900,942500,941900,946300,1112800,1003200,1366800,1712500,1885600,1085700,1100400,1124500,1436200,1267400,1322800,2105900
25,600,1800,4000,6000,36100,8000,18200,22900,22600,28700,31100,29000,29300,49000,57600,49800,46700,50800,55700,60400,66200,72700,78500,85900,189400,166000,103600,112000,119000,169800,226700,140900,162500,158700,168400,177500,186400,195900,210300,276300,533800,233700,244800,257800,266500,497700,499300,301200,542200,342900,360300,349100,589200,390500,388100,460700,412400,429100,461300,468200,782600,834100,532300,860000,661700,547600,572500,717400,849700,720500,629100,659100,663300,679000,697300,836800,729100,1042800,781400,918900,807500,926900,849500,1015300,1147000,905600,937100,953400,1449100,1053100,1267200,1547800,1452500,1436200,1102100,1119300,1202900,1607000,1202700,2195000
26,600,1700,3200,5700,8900,7900,19600,22800,23500,28000,30000,31100,29400,51600,55600,49900,69700,50700,56400,61500,66600,82500,80000,85200,140300,166700,104500,111700,120300,168900,298100,142400,150900,174800,177300,175700,184900,204500,216200,215300,706100,242000,247100,256500,267400,504200,519100,311300,517000,327800,338300,359300,423800,456900,405400,438000,423800,439200,444900,457700,844800,579400,596600,773500,602300,555500,565200,578600,636300,624100,635600,647500,671000,701000,707700,988300,1070400,874100,1223500,799700,816100,826800,847600,880600,911200,1028000,1355600,1094300,1020800,1020000,1062700,1036100,1116700,1728300,1095800,1121800,1169600,1543300,1551000,2222400
27,500,1700,3500,5800,8600,9600,18800,23400,21600,27200,22000,30300,28800,50700,57100,43000,46700,51100,56600,61700,66700,73300,102100,85100,173500,166000,105100,113900,119400,168800,227800,162700,150700,161300,167400,175700,186000,196000,305400,216200,469300,232000,251700,258800,267100,520600,515000,301400,603500,324900,339100,348500,362800,462500,390700,402400,415800,429200,450700,467000,791400,486500,601600,611200,563900,547000,569000,658500,613500,636200,643700,654900,664200,679000,703400,1494900,1270900,763300,1061300,824700,809000,839300,854700,875800,885400,952200,1160700,1712600,1207600,1428100,1038100,1421500,1243900,1641500,1101800,1115700,1189600,2132800,2215200,1909300
28,600,1600,3500,6000,8900,11400,18800,24100,22500,26300,21500,30200,29100,52600,56200,40700,45600,51500,55100,60900,66500,72500,80000,89400,193500,168500,106000,112300,118300,168000,231400,143100,150400,247500,168400,175200,184200,194700,212700,215300,238000,234500,245400,256000,267900,1333900,512600,301700,457100,335500,339600,359800,434900,376900,400000,413400,415300,428300,442800,464400,628900,514200,557400,516700,549500,546200,564000,662100,608000,613000,715500,1823600,665000,680900,1009300,976100,1198400,763700,798700,802200,931200,827900,844700,867000,981800,1034400,1053700,1462700,1716100,1377400,1205500,1149800,1058800,1354800,1122700,1122300,1733200,1838200,1765800,1725200
29,700,2000,3700,5600,8400,7900,18900,22900,22300,24900,21500,29500,29200,53200,57500,41400,45800,51100,56800,60700,66000,72300,79400,85400,217000,165600,104700,112500,118900,169800,346500,143200,151800,264200,168100,175600,185700,197900,383000,216100,224500,233600,245000,264500,279100,405000,498900,302100,462000,326400,337100,358800,702200,381100,389400,402600,414200,430600,457300,558800,2584200,754400,628200,532100,531800,548800,1226700,729600,595500,735500,760600,770400,672400,689900,875800,854600,1344900,754200,783600,901500,805300,826200,849600,875000,1004700,925100,1702900,963500,1715800,1001900,1252500,1234900,1179600,1102900,1107100,1143900,1233200,1195500,1705400,1480100
30,700,1800,3700,5800,8300,11800,19000,21000,23000,27000,21300,29300,33200,54100,57100,42100,46300,50900,56300,60700,67900,72700,78400,85000,149100,164600,105900,112000,119600,169000,327300,194900,152000,159200,169600,188300,184900,274300,458400,216000,260500,234400,246800,325600,266200,293500,531100,301200,450500,328700,338600,349700,421900,377300,387600,402400,424200,436300,442200,457700,760200,631700,522300,517500,539000,555000,725800,1035200,597200,617700,1150500,644500,666000,682200,700600,729700,1290100,757300,794000,1446100,816900,953300,849700,867000,1023900,913400,1594700,980200,1952400,1007300,1361100,1335000,1592100,1647700,1096800,1118000,1396000,1235300,1801100,1786100
