Prueba,Tama�o_10,Tama�o_20,Tama�o_30,Tama�o_40,Tama�o_50,Tama�o_60,Tama�o_70,Tama�o_80,Tama�o_90,Tama�o_100,Tama�o_110,Tama�o_120,Tama�o_130,Tama�o_140,Tama�o_150,Tama�o_160,Tama�o_170,Tama�o_180,Tama�o_190,Tama�o_200,Tama�o_210,Tama�o_220,Tama�o_230,Tama�o_240,Tama�o_250,Tama�o_260,Tama�o_270,Tama�o_280,Tama�o_290,Tama�o_300,Tama�o_310,Tama�o_320,Tama�o_330,Tama�o_340,Tama�o_350,Tama�o_360,Tama�o_370,Tama�o_380,Tama�o_390,Tama�o_400,Tama�o_410,Tama�o_420,Tama�o_430,Tama�o_440,Tama�o_450,Tama�o_460,Tama�o_470,Tama�o_480,Tama�o_490,Tama�o_500,Tama�o_510,Tama�o_520,Tama�o_530,Tama�o_540,Tama�o_550,Tama�o_560,Tama�o_570,Tama�o_580,Tama�o_590,Tama�o_600,Tama�o_610,Tama�o_620,Tama�o_630,Tama�o_640,Tama�o_650,Tama�o_660,Tama�o_670,Tama�o_680,Tama�o_690,Tama�o_700,Tama�o_710,Tama�o_720,Tama�o_730,Tama�o_740,Tama�o_750,Tama�o_760,Tama�o_770,Tama�o_780,Tama�o_790,Tama�o_800,Tama�o_810,Tama�o_820,Tama�o_830,Tama�o_840,Tama�o_850,Tama�o_860,Tama�o_870,Tama�o_880,Tama�o_890,Tama�o_900,Tama�o_910,Tama�o_920,Tama�o_930,Tama�o_940,Tama�o_950,Tama�o_960,Tama�o_970,Tama�o_980,Tama�o_990,Tama�o_1000
876,400,700,2600,2900,3400,5400,8700,8900,11700,12900,16300,17700,22600,24300,27500,37300,40900,46500,45700,48100,64900,56500,63400,77100,91400,95000,87100,90200,100800,113300,111700,98500,98600,100100,114000,154400,121100,136400,177900,138000,171100,168700,144400,165900,182400,238400,173200,189300,242400,197800,221800,376200,277600,236800,403200,264400,257900,282700,311300,296600,390200,383100,308200,328800,325200,447000,355100,529800,567500,432800,409000,423900,410800,491900,491500,547900,532700,603100,535200,556000,629100,528500,517300,562700,554000,604100,821800,765000,623600,717700,787500,649500,759900,776600,902300,901800,854000,815700,758400,1136800
877,300,700,1600,2600,4300,5500,8600,9800,11800,13900,15800,18000,22600,22500,28500,31700,40000,38300,45000,55200,69500,54600,68600,73200,91400,93700,90700,82400,107800,105200,114700,100100,93400,101000,113600,160300,123400,143400,190400,152500,170300,185400,154400,155400,208800,247400,171700,198800,241700,189700,275800,352000,274300,240100,387200,272600,261600,304400,302300,302500,371700,369300,307400,322900,332500,446000,360400,495000,557100,460600,406800,429700,401700,469800,482900,568800,621900,600900,509300,575700,638900,536200,548300,555100,586200,636000,764400,727900,607400,692400,819900,673500,759300,786000,921600,944800,762900,825100,787100,1141800
878,600,2100,1500,2700,4400,5200,9100,10300,11000,13700,17000,17300,23600,24000,29700,37300,35400,42200,42200,54600,68200,56100,67800,69800,93200,94000,92900,78000,106300,113700,113100,98700,97100,99000,111400,153700,125200,145500,198000,135400,173700,170100,148100,152100,192100,253700,175000,208800,235700,197100,237100,352400,260500,231500,386300,278500,258000,305600,302000,294000,390100,394300,301500,444000,327000,462800,358300,531900,585900,446400,402700,430800,418000,478800,503000,580700,739600,605900,534300,567900,629900,514300,569400,562100,555400,661800,659400,788100,607000,710600,826100,669600,741100,769400,922100,902400,737200,827900,771500,996900
879,600,800,1400,2600,4000,6100,8100,9800,12200,14200,16000,18900,23600,24500,30800,35100,36700,43100,53200,57100,68400,53200,70500,71200,102400,94300,91400,85800,102200,161600,119200,97300,89700,97700,114100,166400,123900,140400,185600,132900,159700,180800,146500,149600,181800,243400,181700,201800,249000,200800,236200,375300,274200,231800,424100,286300,248000,284000,307500,290900,382500,391600,309500,402400,320700,424200,376800,531100,565200,445700,401000,428400,423700,470100,487800,560900,804600,569300,550500,531700,627200,533500,525900,546000,550200,646600,680500,752800,572000,674700,805700,643300,730100,799100,901900,923700,734800,869400,747200,939400
880,500,1400,1300,2500,3600,5600,7800,10200,11200,13000,15700,18500,22600,25800,32500,36400,39800,43100,85000,57300,72100,56800,64400,71300,87900,94300,86700,82200,107700,126500,114600,96500,90100,101200,111100,154700,120300,149300,185300,149300,180800,172800,146800,159100,188100,252100,186500,212600,243700,189300,233900,355700,285300,240100,402900,278300,261100,292200,326900,307300,380700,385900,306100,446400,311600,440100,359200,489500,539500,446800,408700,438100,423400,487300,500200,593000,774600,601900,520700,570100,640300,527900,542000,554600,558000,643800,655300,753900,685600,713800,774500,671700,754100,754500,905000,916700,731800,831000,758900,1107000
881,200,700,1500,2600,3700,5900,8200,9700,11500,13600,17200,20100,19900,25400,26700,32600,39900,41700,58400,56500,68200,55700,69500,71600,91600,87900,89000,80800,105600,142600,116100,122100,93600,95300,115700,157700,124400,153400,186100,135800,165600,183600,144600,149900,179300,253800,195500,207900,242300,197700,223800,374000,276000,223100,422600,305200,249800,293900,316400,300700,375700,403600,316200,428400,337800,439400,361300,538700,553000,434800,401200,423100,424500,484200,483900,570700,783900,572000,510900,560500,617500,526600,530800,565000,555600,622300,664100,768500,719700,690800,796300,647500,764900,822900,777000,929700,730800,832100,765900,1000500
882,400,900,1400,2800,3800,5200,7800,9700,12000,13200,16600,17600,25100,24500,28200,36900,37300,39400,51700,51600,66200,56200,65600,76500,93000,90900,97800,80900,104900,136300,114000,98000,98800,102100,107200,149900,129900,148800,192500,154000,180000,184600,158600,149400,185700,242500,181100,195100,258800,194500,252300,348900,268900,245400,396200,285500,246400,277400,313400,283700,377300,374300,292200,397900,328900,444500,378000,518500,582100,445500,414100,431700,407500,483300,498100,537500,783800,608100,545100,556300,618400,591700,539200,573000,537100,665800,653000,796100,615200,723800,800400,660600,749200,774400,721100,911300,720500,820500,752700,931100
883,400,600,1300,2500,4800,6800,7000,9400,12300,13700,16200,18800,24400,28200,30400,35300,40300,40400,52500,52200,78200,51900,63800,83400,94700,96400,91700,81100,111200,128700,108500,100900,97600,91900,1029700,150100,122700,146200,188800,145400,165300,183000,154900,151800,191700,262500,193700,196500,249400,180700,224300,356300,279200,227800,393800,285800,254700,297100,309300,304900,385600,385200,321000,390700,321100,453500,368700,508700,565400,461400,398200,418800,416500,496100,478100,573600,758600,582900,527600,560100,638800,557600,511000,550300,556600,644400,642200,775400,640400,703400,797800,649200,824200,752000,874500,946400,709300,837400,778300,982600
884,400,600,1400,2600,3900,5800,9500,10300,10300,13300,15400,19400,21900,23400,28000,31600,40500,42400,52200,53200,66500,55300,71700,75200,106500,92200,102000,85000,104000,132200,106700,102600,90000,100500,135400,165600,118500,144100,183700,140500,161400,175800,156200,162300,205200,234500,186300,200900,247200,200600,231300,363800,280300,242500,395600,289700,241300,294800,325300,296400,396800,377600,307000,413800,342200,437500,383700,503100,584300,441700,397600,395100,400000,497900,487800,553700,797300,595000,537700,579400,612000,520500,549400,547100,546100,704600,645900,774500,598800,696500,809100,669200,743500,751300,875500,892300,852400,802100,748400,900500
885,400,800,1300,2300,4700,5600,9200,10300,13300,12900,14600,18700,21500,24600,30000,35900,39200,43800,52900,53300,70800,57500,61000,76000,99300,94400,81000,83700,105300,136000,117300,99100,94400,96700,110800,206300,122100,142200,173800,140800,165300,175400,147300,153000,186400,254100,193100,204500,257600,200200,236800,365700,276200,228400,294700,305900,273500,299100,301400,288300,403200,377800,308600,399400,352500,440000,361500,498300,555900,437100,416600,450900,410900,497000,489000,570400,760300,583800,590700,901800,625000,527100,515900,544400,536700,658600,675700,843800,626700,697300,817400,626800,733000,783300,900400,956500,910800,804100,783000,985300
886,400,900,1400,3100,4000,6200,8500,9600,10900,13300,15900,18300,24700,23200,26700,32600,36000,41700,57100,54800,67600,54100,69100,78000,101200,100600,80700,86900,101800,124200,112200,104500,98400,95200,113700,162100,116800,145700,179500,150000,170100,172200,154500,162400,185500,263400,191300,198500,246000,192900,227300,361700,280500,240200,305100,319900,255800,298900,303100,292700,436400,377300,308700,401200,331500,437800,358800,536400,555000,443600,404900,423000,404900,482400,506300,573500,773900,608200,526100,883300,611300,543100,552300,573900,551900,624500,671200,850200,1121300,691800,819300,652700,763400,760000,942700,880800,754900,809100,763500,888600
887,300,600,1500,2300,3800,6600,9200,9200,11300,13100,16700,16800,22900,23900,31100,34100,38400,43300,56600,52300,70300,54400,65700,73200,99000,95500,86800,88200,92900,124900,112600,94500,93200,103200,109500,154400,120000,140500,183300,147600,182200,188700,152500,153100,182000,250000,205500,269400,247300,193400,233200,353100,282600,237100,312300,292800,258900,299300,299000,306100,383600,384000,304600,400600,325300,447200,383500,502700,548600,443400,391100,422600,449500,477600,480200,574500,808400,591800,533500,752100,606300,531100,551000,543900,546800,639600,665000,819800,757500,701100,840300,642100,759300,742200,882000,915400,744900,822000,779800,918100
888,500,1000,1400,2500,3600,6200,7700,9300,10600,12500,15800,20300,20200,24600,30300,37300,36700,40500,54000,54100,63800,54200,66200,147100,102300,97300,88800,78400,102300,121900,119400,101600,95200,95600,469900,159700,126100,140100,181000,138100,165100,179500,139800,152700,212300,255800,185200,188300,245900,187600,222200,360900,280500,225100,391200,283600,268700,294800,323300,298900,393800,388900,323600,433400,331800,475000,376900,527800,567500,431800,408800,425600,415600,491300,481400,549900,794700,607500,529500,718900,642500,540300,534800,579100,541700,619900,656700,831300,970200,671300,794300,687600,760300,763200,903400,902900,767400,810300,747500,950800
889,500,800,1300,2700,4000,6400,7800,8900,10900,13500,14500,21000,24400,25300,30000,36200,37200,41300,60500,54900,66700,57400,71300,77800,104200,99200,85300,82800,102300,118100,113000,106600,94700,98900,202200,154200,133300,153000,184200,147500,169400,172100,152400,155700,216900,256500,197200,199800,249400,199800,226400,370200,281100,216100,292500,274800,261200,300100,301000,290800,386000,364500,304300,402700,337100,437700,359100,514200,526600,439800,414600,416200,425600,464700,482300,559700,794400,718800,538800,721900,642600,526700,542900,544300,568800,633000,795500,824500,977900,730800,799300,687000,752500,879700,900600,896400,758500,811400,755000,911100
890,400,800,1500,2800,5100,5700,6300,10600,11900,13700,16500,22100,25100,28000,30000,35000,40200,41300,51900,54000,73800,58300,71700,72600,98600,95600,86700,85300,111800,111700,108000,93400,91500,94400,99900,157700,126000,146000,188200,140700,164000,184400,153700,163400,193800,237800,203900,208900,238400,206200,230500,340200,268200,236100,295800,273000,242000,300900,299800,301000,369100,387800,318800,397800,339700,435400,351100,540800,573700,456800,396100,406900,423800,463800,504500,544100,778300,636300,527600,750300,639700,527400,542000,572300,528300,653900,591500,850300,925600,719600,782100,687600,723500,833700,869200,907500,715900,816200,821400,880400
891,300,1200,1400,2400,5200,5500,7800,9800,11900,13400,16500,20800,21300,24700,28300,34400,36400,39700,59100,54300,68600,52900,70800,101300,105200,99700,80300,76900,107800,117400,117700,95400,101600,100300,125000,167400,117200,148100,194400,152800,175100,175300,151500,165200,185200,247100,190200,206100,227800,202700,219400,370000,278800,232400,299100,272400,330800,287800,316000,302800,365200,393700,404000,423400,334900,447900,365400,509600,539100,449500,393700,407600,480700,487600,560500,566700,797800,481000,517400,748100,627000,500700,521400,563400,546800,634800,593100,824800,889500,701100,813400,709200,718400,762600,887500,855400,789800,827000,776400,924200
892,400,800,1500,2800,3900,5800,7600,9800,10800,13600,14900,26000,20500,25400,29700,35900,37500,38900,53700,50100,69800,56000,72000,76000,108500,93000,90400,80200,105700,112600,116500,94300,98400,102800,1167600,158100,121300,145500,192800,144500,165200,173300,144800,158500,192800,255300,199900,198600,260600,198500,210700,343400,270900,236800,304800,275200,290900,313100,318600,283400,391100,394200,398000,406400,320300,433600,379400,496200,560900,447100,403500,406500,495100,487800,585300,536100,792800,460700,530800,731900,646700,539800,529700,533400,562500,631700,599200,820700,935700,740200,797000,842300,730300,743800,886200,942400,902800,819400,847400,912300
893,300,700,1300,2600,4600,6600,8000,10100,11600,14100,13500,22400,23000,25300,29600,34500,37400,42100,58800,56300,68100,55700,66100,71400,106800,100500,90300,80400,106800,103100,123800,95900,102100,89800,184800,164300,125100,145100,182900,149800,168000,178700,148900,154700,174700,242200,194500,197600,254000,197800,230000,352300,277000,233600,293200,278400,284100,297400,302100,291200,395300,379400,410600,408400,336100,459500,363700,516200,556900,430600,396000,416600,500600,464400,491600,556200,788700,496300,549700,745200,641600,528800,539800,544400,560500,656800,569500,803600,915700,723700,812500,829200,724100,729000,870000,872700,891500,786600,959200,889800
894,300,900,1500,2900,3800,6100,9100,9700,12000,13800,15700,24700,22800,24600,28300,33500,38500,39300,54300,52600,72200,56200,72600,70200,101400,90300,83500,85200,105700,118500,120300,100700,96500,99100,162200,165000,111900,139000,184700,146400,168000,182100,154700,163900,197600,252900,211900,200300,248800,201300,213000,359100,330200,239200,306600,279300,299000,280100,318800,363200,386600,398700,396500,414100,330000,453700,359500,533200,557100,456200,402800,400200,469200,468300,488400,578500,817600,478400,556100,763100,633100,539900,511600,534400,545100,629400,613400,699300,891200,709600,792600,839500,715400,761600,829400,907600,945700,798000,980400,879100
895,400,800,1400,4200,4100,6000,7300,10300,11200,14000,15600,20400,23000,25200,28700,33400,37300,39900,57500,55000,70500,55100,72900,76100,105200,93200,81100,83400,108500,106300,112200,93200,98000,97500,109400,160600,118700,141700,190300,149400,177600,184400,150300,158600,179500,243000,190800,203500,238500,195500,226000,357200,288600,240700,298700,291200,295900,306400,325400,288800,400300,374800,391400,419700,317000,464300,358900,506600,560800,428500,421000,430200,487500,480900,480300,589600,763900,490000,540200,550900,639600,523800,511200,558700,549800,643800,564900,693700,923800,697200,810100,870500,743700,783900,720300,940800,749900,819700,982300,899800
896,800,900,1600,3800,3900,5100,7700,9600,12200,13700,14700,18500,22800,28300,31300,36300,37800,42500,49400,53800,67400,60900,66500,72200,103400,97200,91400,77400,113900,113100,112900,112300,93300,92300,527700,162600,125100,148700,182100,141300,164300,171100,148000,164200,190400,251300,198600,201800,250700,198300,253100,357800,287100,226700,296300,307100,299900,302000,294300,290300,379900,383600,395500,390800,425700,449200,363300,488700,549900,426400,395300,426000,466400,484400,479600,567700,797000,479200,529200,485300,618000,535300,537800,552000,562600,660000,604800,686000,931000,690800,833700,873300,770600,798300,853400,990500,740400,824400,981400,957100
897,500,900,1300,2800,4000,5700,6500,9300,11100,15000,14500,19700,22200,24700,28300,33900,36400,39900,51300,55100,65300,51500,99300,84200,101700,93900,94700,81300,101800,114500,113100,98100,94000,94600,202800,155200,126500,150000,187100,150300,178300,178900,143900,164700,173700,248200,187700,202700,242500,195000,227800,365500,280000,245900,297900,304200,277400,289600,319200,302800,381100,388600,390700,401500,389700,457500,365500,507700,570700,440200,414600,426900,453300,487400,496600,536700,817400,468300,525100,497300,645300,497500,545900,558600,558900,604800,580900,663600,954100,700100,829400,850200,842100,746800,936000,1444100,729200,833800,948200,916100
898,400,700,1500,3600,4800,6200,7100,8700,11200,14100,16600,21300,23000,24400,29400,36400,41300,43200,65200,60200,77500,55200,90600,93000,104500,94400,79800,80900,108200,102400,117000,97500,95300,101600,123200,163100,119300,141300,185600,140600,176300,178600,145400,155100,187500,176100,203900,205200,234300,203000,217900,374400,289900,240700,304600,284300,302800,297100,315500,305000,378300,378000,382300,387500,398100,436000,360100,504100,529200,427700,405700,413000,478700,509300,499700,576800,790400,485800,551800,481700,1036500,513400,515000,573700,543500,653400,557800,687500,906400,708300,836400,836700,736500,762200,922000,1492500,762500,874500,973600,895000
899,400,700,1300,2700,5900,4900,8100,8900,11600,14000,16700,22400,24500,22600,29800,37200,36700,43300,48500,55400,69600,54200,125700,81100,110300,99800,87300,81700,103000,105900,111400,103000,93500,98100,114800,150800,126100,154900,186700,153900,162500,184800,155600,163600,250900,169000,192100,206800,249900,198800,226700,366500,274100,227100,302300,286300,292300,305100,296900,281700,396400,389400,373700,407500,399900,456700,377400,501500,559700,454200,425300,427900,439600,483800,497000,547700,795700,556100,513600,506200,889300,525300,532600,541200,557400,645400,614800,711000,1002700,724800,821000,841900,726000,777300,900600,1469900,954700,829600,986600,937900
900,300,800,1600,2800,4800,6000,7000,9000,11200,15000,15300,20200,22300,23200,28000,32200,34200,41700,48900,52100,68600,53300,81800,74600,98600,92800,83300,77800,109300,107600,108900,104300,97800,92600,105000,156300,129700,142100,192500,135600,174200,174200,146600,156800,189300,165200,196700,191300,248500,192500,225100,365400,281700,241000,298600,268800,282000,291800,310300,291700,376900,383000,398800,415800,408100,432700,353100,503900,560500,458300,412100,417500,475400,491700,491800,590100,795500,468000,517100,496100,867700,530000,535800,594700,563400,651800,594200,684400,1055200,707400,835400,891300,724600,949300,905600,1526700,848500,939300,842100,924400
901,300,700,2100,3100,4000,5500,6900,9100,11300,13800,16200,20900,22900,25700,26800,35100,38100,38500,47000,53700,69200,53800,78900,76900,103500,98000,80400,83500,107000,114300,115700,94100,91000,97000,110300,159200,122800,140100,182200,254400,168900,169900,149400,162500,218200,168300,190500,203000,238600,194400,211700,356700,277200,227900,294700,322800,303100,291200,305500,295700,385200,385600,394200,419900,411800,443700,377000,526400,573100,446200,405000,409400,476400,471200,470800,552500,765000,483200,527000,496800,862300,531300,538400,552500,591800,661500,591400,688100,1046800,676100,792100,848400,797500,1100400,927600,1469900,783300,755400,750900,879200
902,300,900,2400,2800,4700,6300,6900,9400,11600,12900,15700,21800,26500,25300,29300,35700,38300,41000,49200,49000,69900,53100,78200,78900,100400,97900,89100,75200,108700,112400,115300,95100,96600,94800,115600,153600,155100,138800,181300,222700,160500,173800,155200,164100,181200,171900,195500,207100,245700,205200,269900,360600,297900,239600,284800,301200,287700,287200,308600,296000,378700,414500,379800,389000,394100,442700,388700,513400,545600,443700,414500,432700,469800,485900,465900,579100,783600,476400,545300,496900,907700,510200,538300,555800,554600,635000,601100,668300,1062400,696600,830700,819000,732200,1053800,900000,1481400,848700,719300,794800,846400
903,300,800,1500,3100,3600,6300,10200,10300,10100,14300,15800,20800,23100,27000,26000,35100,40800,43100,45100,53900,69100,57900,78000,82200,107900,96900,94500,82300,99700,107000,115700,93600,94800,98400,118900,157100,122000,149200,185300,228300,174900,176500,148800,167400,199500,174700,197300,206600,251500,195900,222100,355100,289100,250400,300000,279400,278800,288100,311200,295700,375500,413100,409400,419600,397300,460600,361300,502400,536500,428800,392000,411800,476000,471900,485300,548100,782800,475300,513700,512200,904700,531700,517000,563700,549700,633800,582900,674000,926100,703500,818300,832400,813000,1148900,899800,1488600,935500,757200,783300,902600
904,500,900,1400,3200,3000,6200,8600,11200,11700,12800,15900,21000,23400,24100,31300,33400,39000,39600,47500,57900,62200,59400,74000,74600,105000,94400,90400,83400,109700,104400,117000,94400,93600,97500,108600,155400,134100,150100,180800,238000,163200,179900,152500,164000,174700,178500,190300,203800,236800,203000,240100,369400,278300,244700,304600,271600,295100,283900,306400,313400,378200,405400,397300,393100,409000,462200,346800,495100,537100,482600,414000,422500,490300,489900,476500,568400,787500,483700,546700,500100,876800,538700,536400,536300,534300,638700,578000,655100,865700,715200,816500,841900,744400,1144400,888700,1463800,750500,747900,795700,859000
905,400,800,1500,8000,3700,5700,9400,9800,11100,14700,15300,18700,20200,23300,30700,33100,39000,42300,43100,52500,67200,58600,73300,83100,99200,95100,90500,78400,104500,106400,104900,110500,96500,95200,104100,150100,125500,147800,190600,229900,167300,198400,149600,157300,190900,172500,193500,208000,245300,199000,240800,350800,286900,232100,304500,272700,292600,290400,321300,343700,399500,403700,404900,441700,441000,466200,367600,513000,551400,417800,404000,436300,459400,464500,478800,555300,840700,479000,526500,524200,908900,532100,527200,565400,546300,692600,556500,687600,857000,683900,774700,854900,723400,1124500,900500,1272500,737300,753700,770100,873500
906,700,800,1400,3200,7200,5600,6500,10600,12000,13300,14400,19200,22800,25500,29500,31200,38400,43200,49900,53400,75200,58900,77700,73400,103700,90600,117200,84300,109600,113300,114800,113200,92700,97700,109300,158100,114800,150700,180200,225300,183500,181400,150300,163300,192000,167500,189100,201300,243600,190700,223300,366700,287600,244200,305200,304800,277000,298000,312100,356600,373100,405200,409000,383200,414200,443100,369100,481900,561000,444200,389000,407900,465100,466800,501200,541600,726800,486400,517800,519500,852900,538600,573100,556400,548200,958200,587700,680700,889300,698900,810100,859800,734600,1154800,903000,1315700,756200,731000,768600,893000
