Prueba,Tama�o_10,Tama�o_20,Tama�o_30,Tama�o_40,Tama�o_50,Tama�o_60,Tama�o_70,Tama�o_80,Tama�o_90,Tama�o_100,Tama�o_110,Tama�o_120,Tama�o_130,Tama�o_140,Tama�o_150,Tama�o_160,Tama�o_170,Tama�o_180,Tama�o_190,Tama�o_200,Tama�o_210,Tama�o_220,Tama�o_230,Tama�o_240,Tama�o_250,Tama�o_260,Tama�o_270,Tama�o_280,Tama�o_290,Tama�o_300,Tama�o_310,Tama�o_320,Tama�o_330,Tama�o_340,Tama�o_350,Tama�o_360,Tama�o_370,Tama�o_380,Tama�o_390,Tama�o_400,Tama�o_410,Tama�o_420,Tama�o_430,Tama�o_440,Tama�o_450,Tama�o_460,Tama�o_470,Tama�o_480,Tama�o_490,Tama�o_500,Tama�o_510,Tama�o_520,Tama�o_530,Tama�o_540,Tama�o_550,Tama�o_560,Tama�o_570,Tama�o_580,Tama�o_590,Tama�o_600,Tama�o_610,Tama�o_620,Tama�o_630,Tama�o_640,Tama�o_650,Tama�o_660,Tama�o_670,Tama�o_680,Tama�o_690,Tama�o_700,Tama�o_710,Tama�o_720,Tama�o_730,Tama�o_740,Tama�o_750,Tama�o_760,Tama�o_770,Tama�o_780,Tama�o_790,Tama�o_800,Tama�o_810,Tama�o_820,Tama�o_830,Tama�o_840,Tama�o_850,Tama�o_860,Tama�o_870,Tama�o_880,Tama�o_890,Tama�o_900,Tama�o_910,Tama�o_920,Tama�o_930,Tama�o_940,Tama�o_950,Tama�o_960,Tama�o_970,Tama�o_980,Tama�o_990,Tama�o_1000
18,700,2000,2700,3900,6100,7500,12200,12600,15000,18500,22300,32200,37400,44000,49400,55800,61900,68900,73400,80300,88300,94100,104600,89500,121000,140000,174500,202700,126800,238700,144000,188800,236000,169500,305600,187600,214200,204200,268600,335500,292400,248000,316900,443100,322900,519000,384300,395100,921900,588400,406900,557000,486000,445700,474400,486500,429000,525500,568000,727000,491000,517200,531800,547800,556200,864700,601100,683500,651300,1455400,720900,822700,720300,829200,765300,982000,737500,1186300,901100,949000,986600,897000,923900,926300,1270700,1214200,1091600,1275300,1331100,1048300,1360900,1301000,1732300,1360100,1558500,1360500,1554600,1272300,1415900,1469200
19,700,222100,2600,3900,6000,7600,11700,12500,15500,18600,21700,32600,38400,43900,49800,54900,60500,69300,73800,81100,87300,94100,104300,89100,121500,140500,175300,186400,126800,238500,145200,188500,234500,169700,307500,180100,227000,204200,268400,334100,292300,248900,315800,426100,322700,757500,384000,397800,415300,589400,384100,525900,487100,443300,481900,482100,428800,522300,529000,728900,491900,518300,531000,546400,555200,863200,625100,674600,642300,1638800,725900,799100,720000,839200,765200,889700,734800,1032000,1063000,948300,1096400,1016100,927600,926000,2087700,968400,1105000,1276600,1346100,1048900,1241500,1218500,1261500,1294900,1358400,1492700,1553700,1269300,1417300,2586000
20,900,1500,2600,4400,5600,7500,11800,12400,15800,18300,22300,32000,37800,44100,50900,54800,62000,68900,73800,80600,87400,94900,103300,88100,120700,141200,172300,190800,126400,236300,146100,187300,196500,170000,306200,256100,226800,203900,268900,333600,293800,246800,317700,460100,322000,552200,383700,322300,333300,589700,399800,466700,487600,441400,465700,509800,429200,520700,510000,1456600,490500,520300,531800,553800,554200,1280100,901700,666900,981700,1559500,727100,805300,722300,840900,762900,883100,738600,1008400,828200,1088500,1493100,964600,925300,925400,1359600,973200,1102000,1278500,1488100,1048900,1210300,1102000,1250300,1287300,1309900,1354500,1556200,1269300,1419400,1827000
21,800,1600,2400,4100,5900,7300,14900,12500,15400,18600,21800,31800,36700,44500,50100,55500,61800,69400,73100,82100,87900,95600,105000,88700,122700,143000,174300,190000,126300,236400,144800,188300,197300,169700,306000,227900,219600,202800,267400,333800,291300,247400,317300,380900,322800,365400,890900,336400,329100,585900,387300,472700,486700,441600,452300,532900,430600,517900,520000,743700,488700,580900,531500,557000,555000,582500,1023300,676200,821000,1556200,727200,784800,721500,841400,764400,882600,742900,1354700,801200,1067900,1190700,1057500,926400,924300,1215600,989100,1151700,1301600,1533700,1049500,1103100,1113100,1250700,1264300,1312400,1413800,2042300,1267800,1413600,1648800
22,800,1300,2500,4400,5500,7400,11800,12300,15700,19000,22000,32000,37100,43100,49900,55600,62000,69500,74300,80200,87500,94800,104500,88000,149100,141700,174700,168400,126000,237400,144800,189700,196500,170800,307000,228400,223100,203800,266700,334800,291500,248300,316100,378300,319100,383600,391600,397700,331400,587700,379400,473500,486500,444900,484600,503500,429200,518300,673000,731000,490300,1282200,531700,545700,554700,652700,779100,673500,843100,1546400,725700,787000,724700,837700,766300,876700,741900,1196700,797300,1068000,1477300,1019600,924700,924900,1201000,1008800,1002900,1400400,1307900,1050100,1108400,1129300,1250100,1247300,1317000,1534600,1634800,1267400,1416200,1555100
23,600,39000,2600,5100,5400,7400,10500,12500,15200,18800,21900,33000,38000,43800,50300,55400,61200,69200,73400,81800,86200,94900,104000,88600,142500,142400,173800,162600,126600,237000,145400,188300,196500,169600,306300,225400,241500,203600,266700,333400,292100,247300,317100,368900,320500,468200,358400,398000,330200,588500,410400,1399900,487000,445800,1025700,500700,428200,519800,1180800,733100,493900,765200,530200,570600,555700,677900,864800,669600,903800,1535300,774500,787500,719800,1073600,766300,886000,744400,1187200,798900,1069200,1161100,1005800,924800,1010900,1199100,975700,1006100,1179800,1241600,1049300,1088200,1112500,1247900,1239700,2112300,1329000,1376600,1269300,1415100,1546200
24,600,1400,2600,4800,5500,7700,14100,12400,15700,19300,22200,32200,37700,43200,50200,55900,61600,68800,73300,79800,85800,94600,103400,88100,135600,141800,171400,164000,126000,235600,144300,186800,195500,169700,306200,180600,233400,203100,266300,337000,295500,248500,313500,396200,320500,329100,353300,390100,329600,586600,425900,1096300,485500,440300,522800,540800,427900,626600,632200,729800,489900,674200,980500,551900,555500,643500,678900,674000,1180100,1218200,731500,798900,720900,1966300,768000,875400,741400,1023200,804300,1496500,1114700,1008700,1129600,1049100,1201300,973700,1004800,1020000,1302700,1055800,1088300,1113200,1247900,1157700,1488600,1361700,1264200,1968500,2233200,1561700
25,800,1300,2400,4300,5200,7400,12600,12800,15700,21200,21900,32300,37700,42800,50400,55300,61700,69400,73400,80800,87600,95300,103100,88400,134800,141400,172600,180400,126500,237000,146500,188400,197200,170900,305400,181800,231600,203000,266600,334900,294600,248300,316700,380100,321400,321700,399000,340000,330300,588100,430400,590400,486600,445400,459500,482700,428600,2579300,642500,729000,490800,768800,723500,551600,555900,607500,673800,671100,855100,1320500,882300,784800,715600,1392300,766500,870300,1098800,1022400,806200,910400,1107600,1007900,1288600,1036600,1198700,975500,998100,1019600,1230400,1246400,1090200,1631900,1246000,1168500,1211600,1237200,1272000,1656600,1610100,1502000
26,900,1400,2800,4300,5500,7300,13000,12500,15500,20600,22700,32300,37500,43500,49500,55900,62600,69300,73700,79500,87100,95200,104000,88900,135500,141900,173300,161000,126000,237100,145300,187800,195900,169900,306100,180700,210000,204500,267600,495500,293700,247800,315400,382900,320100,386600,394700,344900,331000,564700,921200,1240000,487300,440500,517000,558700,429600,569000,468500,730200,491600,589200,784900,550100,982200,574300,682400,672900,810700,1202700,1013800,766600,715800,1280800,767700,870200,1044500,1016200,805500,852000,1113700,1011100,1211400,968400,1199400,975700,998200,1021200,1233700,1194000,1090400,1767500,1247000,1165400,1220300,1247000,1266700,1959700,1362100,1567300
27,700,1500,2700,4200,5200,7700,12800,12400,15200,21400,22200,32200,38000,43300,49500,54600,61400,70100,73000,79300,86200,95100,103400,88900,136000,140500,173800,160600,127800,236000,146000,187800,198100,169600,304800,181500,214500,204000,267600,649600,295400,248900,316900,382400,321600,340700,365700,321800,329700,727100,671200,575500,534100,499400,747300,556300,426500,526700,477700,728400,492900,586000,758500,552700,1113300,585600,680700,678500,807000,1198100,1005300,811100,716000,978700,1042300,1017200,979000,1018400,802900,847900,1112600,1011400,925600,1273300,1569000,976300,1145600,1020500,1220100,1263100,1089800,1127100,1247400,1170200,1204100,1247700,1262400,1770100,1301400,1542600
28,1800,1300,2400,4900,5300,7500,11400,13100,15200,58800,22000,32700,38300,43900,51300,56200,62000,69000,75000,79900,87600,95500,104000,88000,134100,141700,172900,162600,127200,215000,145600,188900,195700,169800,305500,181800,218900,202300,268100,375700,294500,245300,715600,393400,320800,335400,399800,344200,331600,358900,561500,600700,1045800,502700,814800,569700,429300,527400,468400,729900,490800,589100,743100,550400,1385700,590700,691100,693800,809800,1145800,989100,1491100,716800,931700,1065400,787600,865400,1019100,804100,1175800,1111800,1614900,1214400,1090800,1334200,1695700,1100400,1019300,1239600,1233200,1090100,1140000,1249800,1167100,1202200,1248900,1262000,1753200,1294300,2302600
29,700,1500,2700,5600,5400,7500,13000,12900,15700,37000,21900,32900,37900,43700,50600,56000,62300,69500,73500,80800,87400,94900,102300,88600,134300,143000,173200,161700,125800,203400,145000,187400,197300,169400,303800,181700,216800,203900,266900,447700,358000,245500,434700,391300,321500,333600,378400,325300,330100,366700,549500,519800,654700,469800,559300,620600,428800,528300,468600,1124400,492900,591200,731100,551700,622500,579300,685200,55160300,808200,706200,803000,707800,715100,934800,1067500,778500,753100,1019300,803000,1227000,1111100,1129700,1324700,1060100,1317100,1421700,1369900,1019800,1219600,1075900,1091600,1120700,1291800,1167100,1202500,1249900,1261800,1747100,1294400,2209200
30,700,1300,2800,5500,5400,7600,19700,12600,16000,36300,21900,33200,37600,44500,50500,55300,62100,70400,74200,80500,87400,94600,103800,88900,134500,142100,171900,174300,126800,203700,145400,187900,197100,170700,304200,181400,214700,202800,266300,400300,496100,246300,413900,703200,404900,364100,365600,455500,330100,429400,536200,529400,690300,444400,642000,587900,427400,522300,469600,940200,491300,589600,761000,553400,558200,602000,682300,1021400,811400,730200,851300,702900,715500,944700,1059200,781700,758900,1210300,804800,1140400,1368400,926100,1245500,1051900,1315100,1005200,1501900,1021900,1236600,1058800,1088200,1123900,1822400,1169400,1201900,1236000,1261900,1781000,1294300,1775400
31,600,1400,2700,4100,5500,7500,11100,12400,18900,32000,22000,32100,38100,43500,50300,55300,61500,69100,74000,80800,87800,95000,103400,88600,134000,140800,172400,157800,126100,204000,143700,189500,194200,170000,304200,180000,216900,203900,267600,352300,445500,245900,482700,477600,363200,343600,347400,488400,328900,409600,531500,515800,569700,553400,515400,437400,429500,524500,470600,675700,494400,584800,1030000,551100,563700,588200,683900,946500,808800,763200,1283300,720000,716200,933000,1388900,782100,771700,1152100,1070800,1117100,1115600,929200,1290000,1054800,1552100,999600,1266100,1018200,1210600,1077700,1124400,1122200,2088800,1169600,1204500,1236900,1263800,1725400,1294400,1690100
32,1000,1500,2600,5400,5800,7500,11400,12400,17500,32500,21900,32500,38300,43200,51600,55200,61200,69500,73200,81100,87400,94400,104400,88700,155400,142600,172600,157600,125300,205700,146100,189000,196100,169600,305800,180900,241800,202700,267800,280000,420700,246100,453800,410800,332000,335400,344500,757900,330300,383800,582000,709200,543200,475500,510400,444300,428400,520600,468700,687000,492900,587600,702000,552300,564100,657700,681400,935500,807300,707800,1007200,704100,715900,934400,882600,778200,757900,1163800,907000,1107500,1279300,914600,1191500,1065400,1771000,983300,1267600,1021400,1205500,1057200,1691800,1118600,1185300,1172100,1201600,1235400,1262200,1508700,1293200,1685000
33,600,2300,2700,4500,5500,7400,12100,12900,41500,32900,21800,31700,38100,44100,50100,55000,62000,69500,72700,81500,87700,95800,104300,89000,182700,141400,170800,159900,126500,202000,145600,187900,198200,169700,302900,181000,230400,203000,267800,353700,421300,247100,367600,395300,312800,334600,343600,387300,330600,381400,676000,660400,969600,504100,466400,428100,428900,521200,468100,562200,840600,590400,676600,556300,572700,826200,677500,955600,806800,707700,810900,701200,717000,932300,869700,779500,777700,1071600,901300,1078500,1173000,916700,1169200,1069700,1075700,981600,1256600,1020800,1277200,1057600,1459900,1121100,1141500,1179000,1205400,1238500,1340500,2125200,1293100,1686100
34,1100,1200,3100,5100,5300,7400,10200,12500,19800,34300,22300,32000,38000,48800,49800,55300,60500,69300,74800,79600,87100,94700,104200,88700,137000,142600,171800,157500,125800,203200,144400,188700,196100,169100,262300,181300,215400,250200,265200,305300,330500,246300,373900,456700,324600,335000,483400,346300,329700,386500,836000,378600,538900,487400,466700,426800,428000,522300,468000,599100,797900,584300,672800,555100,563900,1244700,679000,1030700,806300,685800,811200,704100,718100,933400,864400,1141700,759200,915100,904000,1076700,1569000,918500,1164300,1070900,980800,982300,1258800,1023000,1332400,1055100,1212400,1119500,1169600,1320800,1201800,1257700,1423100,1876400,1295100,1684200
35,1300,1400,3200,5200,5600,7600,10700,12600,21500,33000,21700,32700,37200,45100,50300,54800,61800,69500,73300,80400,86200,95700,103600,89900,133800,141100,172300,178600,125600,201100,144400,188700,196200,169900,263200,182100,229800,581900,266900,333300,304200,299700,431000,385200,321900,335800,364200,324300,330300,377400,566500,426800,566500,446800,462200,426100,429200,524600,468000,552300,775600,584200,673600,555400,585200,873300,676400,903400,805800,686300,814800,708700,3282200,933900,865400,1131100,764100,913000,907300,1076200,998500,915600,1163700,1062400,961000,982600,1289300,1021100,1281700,1055800,1109600,1120400,1144700,1294400,1254600,1409000,1525300,1675500,1387800,1689100
36,700,1300,2600,5100,5400,7300,12000,12400,22500,32200,21800,32700,37900,45700,50200,55100,61100,69100,74000,82100,87100,95100,105300,89000,132500,141900,172200,167700,125800,203200,145500,187700,195400,169400,264600,181300,224600,4491200,269900,259800,293600,451300,372800,395200,326100,387300,423300,322400,329300,379500,724500,382700,490100,445500,535000,426200,428500,522400,467000,618500,503000,585200,671800,555300,567600,705300,670600,865000,809100,688000,818900,702800,1722400,930800,865600,915500,765300,910800,1181400,1077100,988600,914700,1164200,1066900,959000,985600,1349900,1252800,1242300,1054100,1110200,1120100,1144900,1256500,1986600,1350600,2076200,1645200,2727200,1686400
37,800,1500,2800,4400,5300,7200,43500,12400,19500,36400,22400,32500,38300,44200,50300,55200,62000,69600,73300,81000,86700,95200,103600,89000,132200,141200,172300,167800,127000,203000,145200,187600,196000,170300,260700,181400,219300,222800,269100,253900,265000,376100,390200,458500,309300,343200,352300,330100,364700,379800,533700,382200,754300,450600,507700,424400,428200,523000,467500,626600,607300,717500,674400,553400,562100,766200,673300,1158100,807100,690100,816600,703100,787100,1018400,863300,833700,766300,921800,1125400,1077300,991800,916200,1163100,1203200,963300,982700,1399100,1263600,1221500,1058000,1110700,1120300,1143800,1190800,1728800,1253100,1630100,1652500,1725000,2005500
38,600,1400,2900,5500,5600,7700,22400,12300,19700,36500,22300,33000,37100,46600,51200,55900,61300,69000,74100,79800,86400,95600,104300,88600,132600,139700,172500,164200,126600,204100,144600,188000,197600,170300,262600,181300,223200,890300,270300,253800,321200,395800,314600,398300,354000,353800,381400,323800,330100,379200,538500,452700,775800,444600,504000,426700,427500,522000,469100,591900,594300,1250900,670500,611400,563400,1269200,672700,1184700,866400,690900,815600,701300,732400,1292600,868100,787000,764700,918100,1171300,1080300,991000,914600,1031900,1333000,960400,981700,1396100,1598400,1213100,1075500,1104800,1250400,1145300,1181600,1344000,1246900,1593100,1648700,1504000,2170900
